YEAR,Coach,Faculty
2010,0.0,0.0
2011,9.756,4.666
2012,11.111,1.222
2013,21.0,-0.178
2014,9.917,2.402
2015,7.519,12.37
2016,-3.497,-8.349
2017,7.246,-2.227
2018,6.757,1.104
2019,6.329,1.143
2020,-16.667,-3.931
2021,35.0,-0.861
2022,-1.058,18.884
2023,8.556,-9.984
2024,-24.631,-13.144
